Id,name,slug,price,originalPrice,shortdescription,longdescription,primary_url,thumbnails,category_id,tags_id,brands_id
1,converse Leather,converse-leather,1450,1950,Classic Converse sneaker with premium leather upper,"A timeless Converse design upgraded with a smooth, durable leather upper, providing enhanced comfort and a sleek, stylish look perfect for casual and semi-formal wear.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764795/converseleather_ijyvkj.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764795/converseleather_obhvz2.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764795/converseleather_ijyvkj.jpg",1,"1,3",1
2,converse Material,converse-material,1150,1650,Converse sneaker with mixed materials for versatile style.,"This Converse model features a blend of materials such as canvas, suede, and leather to deliver a unique texture and durability, ideal for everyday casual wear.",https://res.cloudinary.com/djidjtrfg/image/upload/v1756142195/IMG-20250528-WA0000_r54taa.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1756142002/conversematerial_rfgw52.jpg,1,2,0
3,airmax90 original,airmax90-original,2700,3000,Iconic Nike Air Max 90 with original design and cushioning.,"The Nike Air Max 90 original model features signature visible Air cushioning, a durable leather and mesh upper, and a classic silhouette that combines comfort and street style effortlessly.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771065/90_pkpiel.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771114/air90_v38scj.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771101/90_hvoyhv.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771100/90_fkzbym.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771067/90_mrhafb.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771066/90_d6ss9x.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771066/90_zrov7m.jpg",1,"4,6",2
4,Bapestar original,bapestar-original,2800,3100,Trendy Bapestar sneaker with bold design elements.,"Bapestar’s original sneaker offers a standout design with vibrant colors, premium materials, and a comfortable fit, making it a favorite in urban streetwear culture.",https://res.cloudinary.com/djidjtrfg/image/upload/v1756142203/IMG-20250616-WA0003_wljavr.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1756142205/IMG-20250616-WA0000_s8gdwc.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1756142122/IMG-20250616-WA0002_iy1wal.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1756142091/IMG-20250616-WA0001_dm25qy.jpg",1,"1,3",0
5,Dior original,dior-original,2400,3000,Luxurious Dior original sneaker with premium craftsmanship.,"The Dior original sneaker showcases exquisite craftsmanship with high-quality leather, elegant detailing, and a sleek silhouette that epitomizes luxury fashion.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771125/dior_ca8mdk.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771125/dior_ca8mdk.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771131/dior_wkyy9u.jpg",1,3,0
6,clarks original,clarks-original,2100,2500,Classic Clarks shoe with premium leather and comfort.,"Known for exceptional comfort and style, the Clarks original features soft leather uppers, cushioned insoles, and durable soles, perfect for everyday wear and casual business settings.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771124/clarks_t3bbpn.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771124/clarks_t3bbpn.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771124/clarks_djabys.jpg",1,1,0
7,Wallabees original,wallabees-original,2100,2500,Iconic Clarks Wallabee moccasin-style shoe.,"The original Wallabees offer a unique moccasin design with a crepe sole, premium suede or leather uppers, and a comfortable fit, loved for both casual and semi-formal looks.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764851/wallabees_w0bpf0.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764851/wallabees_w0bpf0.jpg,1,1,0
8,Lugz original,lugz-original,3800,4100,Rugged and durable Lugz original boots and sneakers.,"Lugz originals are built for durability and style with tough materials, reinforced stitching, and comfortable footbeds, perfect for urban and outdoor wear.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771062/lugs_hze38g.jpg,",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771062/lugs_hze38g.jpg",1,6,0
9,Timberland original,timberland-original,3700,4000,Classic Timberland boot with waterproof leather.,"The original Timberland boot features premium waterproof leather, rugged construction, and superior traction, making it a staple for both fashion and function.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755771062/lugs_hze38g.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755771062/lugs_frkcki.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755771123/blktimber_qsibs5.jpg",1,"4,6",4
10,airmax95 original,airmax95-original,3100,3500,Nike Air Max 95 with iconic design and Air cushioning.,"The Air Max 95 original offers a distinctive layered upper design, visible Air units in the sole for cushioning, and a retro-inspired look loved by sneaker enthusiasts worldwide.",https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/airmax95_vir3ni.jpg,"https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/airmax95_vir3ni.jpg,https://res.cloudinary.com/djidjtrfg/image/upload/v1755764759/airmax95_hm8ulv.jpg",1,1,2
